English,Chinese,Pinyin,Word Type,CEFR Level
thank,感谢,gǎnxiè,verb,A1
think,思考,sīkǎo,verb,A1
threaten,威胁,wēixié,verb,B2
throw,扔,rēng,verb,A2
tidy,整齐的,zhěngqí de,verb,A2
tie,领带,lǐngdài,verb,A2
time,时间,shíjiān,verb,B2
tip,提示,tíshì,verb,B1
title,标题,biāotí,verb,B2
touch,触碰,chùpèng,verb,A2
tour,旅游,lǚyóu,verb,B1
track,追踪,zhuīzōng,verb,B2
trade,贸易,màoyì,verb,B1
train,火车,huǒchē,verb,A2
transfer,转移,zhuǎnyí,verb,B2
transform,转换,zhuǎnhuàn,verb,B2
translate,翻译,fānyì,verb,B1
transport,运输,yùnshū,verb,B1
travel,旅行,lǚxíng,verb,A1
treat,对待,duìdài,verb,B1
trick,诡计,guǐjì,verb,B1
trip,旅行,lǚxíng,verb,B2
trouble,麻烦,máfan,verb,B2
trust,相信,xiāngxìn,verb,B2
try,尝试,chángshì,verb,A1
turn,转动,zhuàndòng,verb,A1
type,类型,lèixíng,verb,B1
understand,理解,lǐjiě,verb,A1
update,更新,gēngxīn,verb,B1
upset,沮丧的,jǔsàng de,verb,B1
urge,敦促,dūncù,verb,B2
use,使用,shǐyòng,verb,A1
value,价值,jiàzhí,verb,B2
vary,各不相同,gèbùxiāngtóng,verb,B2
view,看法,kànfǎ,verb,B1
visit,访问,fǎngwèn,verb,A1
volunteer,志愿者,zhìyuànzhě,verb,B1
vote,投票,tóupiào,verb,B1
wait,等待,děngdài,verb,A1
wake,唤醒,huànxǐng,verb,A1
walk,走,zǒu,verb,A1
want,想,xiǎng,verb,A1
warm,温暖的,wēnnuǎn de,verb,B1
warn,警告,jǐnggào,verb,B1
wash,洗,xǐ,verb,A1
waste,浪费,làngfèi,verb,B1
watch,手表,shǒubiǎo,verb,A1
water,水,shuǐ,verb,B1
wave,海浪,hǎilàng,verb,B1
wear,穿,chuān,verb,A1
weigh,称重,chēngzhòng,verb,B1
welcome,欢迎,huānyíng,verb,A1
whisper,耳语,ěryǔ,verb,B2
win,赢,yíng,verb,A1
wind,风,fēng,verb,B2
wish,希望,xīwàng,verb,A2
witness,证人,zhèngrén,verb,B2
wonder,想知道,xiǎng zhīdào,verb,B1
work,工作,gōngzuò,verb,A1
worry,担心,dānxīn,verb,A2
wound,伤口,shāngkǒu,verb,B2
wrap,裹,guǒ,verb,B2
write,写,xiě,verb,A1
