English,Chinese,Pinyin
I have reserved a room.,我已经预订了房间。,wǒ yǐjīng yùdìng le fángjiān 。
I have some dollars.,我有一些美元。,wǒ yǒu yīxiē měiyuán 。
I have some friends there.,我在那里有一些朋友。,wǒ zài nàli yǒu yīxiē péngyou 。
I have some money with me today.,今天我身上带了一些钱。,jīntiān wǒ shēnshang dài le yīxiē qián 。
I have some wine.,我有一些酒。,wǒ yǒu yīxiē jiǔ 。
I have the flu.,我有流感。,wǒ yǒu liúgǎn 。
I have thirty dollars.,我有三十美元。,wǒ yǒu sānshí měiyuán 。
I have time to travel now.,我现在有时间去旅行。,wǒ xiànzài yǒu shíjiān qù lǚxíng 。
I have to change some money.,我得换点钱。,wǒ dé huàndiǎn qián 。
I have to go there right away.,我必须马上去那里。,wǒ bìxū mǎshàng qù nàli 。
I have to go to the airport.,我得去机场。,wǒ dé qù jīchǎng 。
I have to meet with an artist.,我得去见一位艺术家。,wǒ dé qù jiàn yīwèi yìshùjiā 。
I have to meet with her again.,我必须再次与她见面。,wǒ bìxū zàicì yǔ tā jiànmiàn 。
I have to organize the marketing plan.,我必须组织营销计划。,wǒ bìxū zǔzhī yíngxiāo jìhuà 。
I have to work in the office until six o’clock.,我必须在办公室工作到六点。,wǒ bìxū zài bàngōngshì gōngzuò dào liùdiǎn 。
I haven’t been to the winery.,我没去过酒庄。,wǒ méi qùguò jiǔzhuāng 。
I haven’t found my luggage.,我还没找到我的行李。,wǒ huán méi zhǎodào wǒ de xíngli 。
I haven’t read their story,我没读过他们的故事,wǒ méidú guò tāmen de gùshi
I haven’t yet bought the cookies.,我还没买饼干。,wǒ huán méi mǎi bǐnggān 。
I haven’t yet changed the money.,我还没有换钱。,wǒ huán méiyǒu huànqián 。
I haven’t yet found the money.,我还没有找到钱。,wǒ huán méiyǒu zhǎodào qián 。
I heard part of the story.,我听到了故事的一部分。,wǒ tīngdào le gùshi de yībùfen 。
I heard talk of it.,我听说过这件事。,wǒ tīngshuō guò zhèjiàn shì 。
I heard that Americans are a bit superstitious.,听说美国人有点迷信。,tīngshuō měiguó rén yǒudiǎn míxìn 。
I heard that he said that nothing’s broken.,我听说他说没有任何损坏。,wǒ tīngshuō tā shuō méiyǒu rènhé sǔnhuài 。
I heard that I have relatives in Sicily.,我听说我在西西里岛有亲戚。,wǒ tīngshuō wǒ zài xīxīlǐdǎo yǒu qīnqi 。
I heard that Italians are very superstitious.,听说意大利人很迷信。,tīngshuō yìdàlìrén hěn míxìn 。
I heard that Italians have their heads in the clouds.,我听说意大利人脑子里都是浮云。,wǒ tīngshuō yìdàlìrén nǎozilǐ dū shì fúyún 。
I heard that my grandparents met by chance.,听说我的爷爷奶奶是偶然认识的。,tīngshuō wǒ de yéyénǎinǎi shì ǒurán rènshi de 。
I heard that my uncle’s house is furnished with taste.,听说叔叔家装修得很有品味。,tīngshuō shūshu jiā zhuāngxiū dé hěn yǒu pǐnwèi 。
I heard that she traveled all over the world.,我听说她走遍了世界各地。,wǒ tīngshuō tā zǒubiàn le shìjiègèdì 。
I heard that she wanted to be a famous singer.,我听说她想成为一名著名歌手。,wǒ tīngshuō tā xiǎng chéngwéi yīmíng zhùmíng gēshǒu 。
I heard that the article was interesting.,我听说这篇文章很有趣。,wǒ tīngshuō zhè piānwénzhāng hěn yǒuqù 。
I heard that the boat leaves from the pier at nine o’clock.,听说船是九点钟从码头出发的。,tīngshuō chuánshì jiǔdiǎnzhōng cóng mǎtóu chūfā de 。
I heard that the mosaics are a specialty in Ravenna.,我听说马赛克是拉文纳的特产。,wǒ tīngshuō mǎsàikè shì lāwénnà de tèchǎn 。
I heard that there is a cake ---,听说有蛋糕——,tīngshuō yǒu dàngāo — —
I heard that there is a legend ---,听说有一个传说——,tīngshuō yǒu yīgè chuánshuō — —
I heard that there is a story ---,听说有一个故事——,tīngshuō yǒu yīgè gùshi — —
I heard that there was a girl ---,听说有一个女孩——,tīngshuō yǒu yīgè nǚhái — —
I heard that these cookies are delicious.,我听说这些饼干很好吃。,wǒ tīngshuō zhèxiē bǐnggān hěn hàochī 。
I heard that your article will be interesting.,我听说你的文章会很有趣。,wǒ tīngshuō nǐ de wénzhāng huì hěn yǒuqù 。
I hope that you can find my luggage.,我希望你能找到我的行李。,wǒ xīwàng nǐ néng zhǎodào wǒ de xíngli 。
I hope that you can help me.,我希望你能帮助我。,wǒ xīwàng nǐ néng bāngzhù wǒ 。
I hope that you can help me.,我希望你能帮助我。,wǒ xīwàng nǐ néng bāngzhù wǒ 。
I hope that you can help us.,我希望你能帮助我们。,wǒ xīwàng nǐ néng bāngzhù wǒmen 。
I hope to return soon.,我希望尽快回来。,wǒ xīwàng jìnkuài huílai 。
I hope to see you again soon.,我希望很快能在见到你。,wǒ xīwàng hěnkuài néng zài jiàndào nǐ 。
I knew that my kitchen would be a big project.,我知道我的厨房将是一个大工程。,wǒ zhīdào wǒ de chúfáng jiàng shì yīgè dà gōngchéng 。
I knew that the project would be finished soon.,我知道这个项目很快就会完成。,wǒ zhīdào zhège xiàngmù hěnkuài jiù huì wánchéng 。
I know a good bar just around the corner.,我知道拐角处有一家不错的酒吧。,wǒ zhīdào guǎijiǎochù yǒu yījiā bùcuò de jiǔbā 。
I know him well.,我很了解他。,wǒ hěn liǎojiě tā 。
I know that he will not go.,我知道他不会去。,wǒ zhīdào tā bùhuì qù 。
I know that she was a champion skier.,我知道她是滑雪冠军。,wǒ zhīdào tā shì huáxuě guànjūn 。
I know that you dislike the crowd.,我知道你不喜欢人群。,wǒ zhīdào nǐ bù xǐhuan rénqún 。
I learned a lot in Italy.,我在意大利学到了很多东西。,wǒ zài yìdàlì xuédào le hěnduō dōngxi 。
I learned with a Pimsleur course.,我通过 Pimsleur 课程学习。,wǒ tōngguò   pimsleur   kèchéng xuéxí 。
I like cross country skiing and I like the downhill.,我喜欢越野滑雪，也喜欢速降。,wǒ xǐhuan yuèyě huáxuě ， yě xǐhuan sùjiàng 。
I like Italian wines.,我喜欢意大利葡萄酒。,wǒ xǐhuan yìdàlì pútaojiǔ 。
I like Italy.,我喜欢意大利。,wǒ xǐhuan yìdàlì 。
I like the appetizers.,我喜欢开胃菜。,wǒ xǐhuan kāiwèicài 。
I like the mosaics.,我喜欢马赛克。,wǒ xǐhuan mǎsàikè 。
I like the old town very much.,我非常喜欢老城区。,wǒ fēicháng xǐhuan lǎochéngqū 。
I like the plan.,我喜欢这个计划。,wǒ xǐhuan zhège jìhuà 。
I like the restaurant with the beautiful view.,我喜欢风景优美的餐厅。,wǒ xǐhuan fēngjǐngyōuměi de cāntīng 。
I like the striped shirt in the shop window a lot.,我很喜欢商店橱窗里的条纹衬衫。,wǒ hěn xǐhuan shāngdiàn chúchuāng lǐ de tiáowén chènshān 。
I like the towels and the sheets.,我喜欢毛巾和床单。,wǒ xǐhuan máojīn hé chuángdān 。
I like the wines that come from our winery.,我喜欢我们酒庄出产的葡萄酒。,wǒ xǐhuan wǒmen jiǔzhuāng chūchǎn de pútaojiǔ 。
I like these ancient buildings.,我喜欢这些古建筑。,wǒ xǐhuan zhèxiē gǔjiànzhù 。
I like this beautiful baroque fountain.,我喜欢这个美丽的巴洛克式喷泉。,wǒ xǐhuan zhège měilì de bāluòkèshì pēnquán 。
I like this wine with a fruity taste.,我喜欢这款带有果味的葡萄酒。,wǒ xǐhuan zhè kuǎn dàiyǒu guǒwèi de pútaojiǔ 。
I like to eat healthy.,我喜欢吃得健康。,wǒ xǐhuan chī dé jiànkāng 。
I like to eat.,我喜欢吃。,wǒ xǐhuan chī 。
I like to fly.,我喜欢飞翔。,wǒ xǐhuan fēixiáng 。
I like to go out alone.,我喜欢一个人出去。,wǒ xǐhuan yīgè rén chūqù 。
I like to have many cousins.,我喜欢有很多表兄弟姐妹。,wǒ xǐhuan yǒu hěnduō biǎoxiōngdì jiěmèi 。
I like to play tennis very much in my free time.,我空闲时间非常喜欢打网球。,wǒ kòngxián shíjiān fēicháng xǐhuan dǎwǎngqiú 。
I like to shop when the prices aren’t high.,我喜欢在价格不高的时候购物。,wǒ xǐhuan zài jiàgé bùgāo de shíhou gòuwù 。
I like to taste local wines.,我喜欢品尝当地的葡萄酒。,wǒ xǐhuan pǐncháng dāngdì de pútaojiǔ 。
I like to travel by train.,我喜欢乘火车旅行。,wǒ xǐhuan chénghuǒchē lǚxíng 。
I like wine that isn’t sweet.,我喜欢不甜的酒。,wǒ xǐhuan bùtián de jiǔ 。
I liked it more than anything else.,我喜欢它胜过其他一切。,wǒ xǐhuan tā shèngguò qítā yīqiè 。
I liked it.,我喜欢它。,wǒ xǐhuan tā 。
I liked the photo.,我喜欢这张照片。,wǒ xǐhuan zhèzhāng zhàopiàn 。
I looked for them under your briefcase.,我在你的公文包下找过它们。,wǒ zài nǐ de gōngwénbāo xià zhǎo guò tāmen 。
I looked in several good places.,我看了几个好地方。,wǒ kàn le jǐge hǎo dìfāng 。
I lost my credit cards.,我丢失了信用卡。,wǒ diūshī le xìnyòngkǎ 。
I lost my luggage.,我丢了行李。,wǒ diū le xíngli 。
"I love cross country skiing, but I prefer the downhill.",我喜欢越野滑雪，但我更喜欢速降滑雪。,wǒ xǐhuan yuèyě huáxuě ， dàn wǒ gēng xǐhuan sùjiàng huáxuě 。
"I love the downhill, but cross country skiing is fun too.",我喜欢速降，但越野滑雪也很有趣。,wǒ xǐhuan sùjiàng ， dàn yuèyě huáxuě yě hěn yǒuqù 。
I managed it enough.,我已经做到了足够了。,wǒ yǐjīng zuòdào le zúgòu le 。
I managed it well.,我处理得很好。,wǒ chǔlǐ dé hěn hǎo 。
I met her father a little while ago.,不久前我见过她父亲。,bùjiǔqián wǒjiàn guò tā fùqīn 。
I met her last month.,我上个月见过她。,wǒ shànggèyuè jiàn guò tā 。
I met the artist a few years ago.,几年前我认识了这位艺术家。,jǐnián qián wǒ rènshi le zhèwèi yìshùjiā 。
I met your mother twice.,我见过你妈妈两次。,wǒjiàn guò nǐ māma liǎngcì 。
I misplaced it.,我把它放错地方了。,wǒ bǎ tā fàngcuò dìfāng le 。
I misplaced the tickets.,我把票丢了。,wǒ bǎ piào diū le 。
I misplaced the wallet.,我把钱包放错地方了。,wǒ bǎ qiánbāo fàngcuò dìfāng le 。
"I misplaced them,",我把它们放错地方了,wǒ bǎ tāmen fàngcuò dìfāng le
I moved here for work.,我搬到这里工作。,wǒ bān dào zhèlǐ gōngzuò 。
I moved here from Hoboken.,我从霍博肯搬到这里。,wǒ cóng huòbókěn bān dào zhèlǐ 。
I moved here two years ago.,我两年前搬到这里。,wǒ liǎngnián qián bān dào zhèlǐ 。
I must buy a new cellphone.,我必须买一部新手机。,wǒ bìxū mǎi yībù xīnshǒujī 。
I must buy some red wine.,我必须买点红酒。,wǒ bìxū mǎidiǎn hóngjiǔ 。
I must file a report at the lost and found office.,我必须向失物招领处提交一份报告。,wǒ bìxū xiàng shīwùzhāolǐng chù tíjiāo yífèn bàogào 。
I must file a report at the police station.,我必须去警察局报案。,wǒ bìxū qù jǐngchájú bàoàn 。
I must file a report at the subway station.,我必须去地铁站报案。,wǒ bìxū qù dìtiězhàn bàoàn 。
I must leave in three days.,三天后我必须离开。,sāntiān hòu wǒ bìxū líkāi 。
I must leave in three weeks.,我必须在三周后离开。,wǒ bìxū zài sānzhōu hòu líkāi 。
I must make a telephone call.,我必须打个电话。,wǒ bìxū dǎgè diànhuà 。
I must meet with the painter.,我必须和画家见面。,wǒ bìxū hé huàjiā jiànmiàn 。
I must recharge it before sending a text.,在发送短信之前我必须先充电。,zài fāsòng duǎnxìn zhīqián wǒ bìxū xiān chōngdiàn 。
I must recharge my cellphone.,我必须给手机充电。,wǒ bìxū gěi shǒujī chōngdiàn 。
I must recharge my laptop.,我必须给我的笔记本电脑充电。,wǒ bìxū gěi wǒ de bǐjìběndiànnǎo chōngdiàn 。
I must return by plane.,我必须乘飞机回来。,wǒ bìxū chéngfēijī huílai 。
I need a brilliant idea!,我需要一个好主意！,wǒ xūyào yīgè hǎo zhǔyi ！
I need a newspaper.,我需要一份报纸。,wǒ xūyào yífèn bàozhǐ 。
I need another number.,我需要另一个号码。,wǒ xūyào lìng yīgè hàomǎ 。
I need help!,我需要帮助！,wǒ xūyào bāngzhù ！
I need hot springs treatments.,我需要温泉治疗。,wǒ xūyào wēnquán zhìliáo 。
I need to buy some mineral water.,我需要买一些矿泉水。,wǒ xūyào mǎi yīxiē kuàngquánshuǐ 。
I need to call the plumber.,我需要打电话给水管工。,wǒ xūyào dǎdiànhuà gěishuǐguǎn gōng 。
I need to find a vegetarian restaurant.,我需要找一家素食餐厅。,wǒ xūyào zhǎo yījiā sùshí cāntīng 。
I need to talk with her today.,今天我需要和她谈谈。,jīntiān wǒ xūyào hé tā tántán 。
I need to update the marketing plan.,我需要更新营销计划。,wǒ xūyào gēngxīn yíngxiāo jìhuà 。
I needed a vacation.,我需要一个假期。,wǒ xūyào yīgè jiàqī 。
I never drink beer.,我从不喝啤酒。,wǒ cóngbù hēpíjiǔ 。
I never drink white wine.,我从来不喝白葡萄酒。,wǒ cóngláibù hē báipútaojiǔ 。
I never go to the gym!,我从来不去健身房！,wǒ cóngláibù qù jiànshēnfáng ！
I often play at tennis with them.,我经常和他们一起打网球。,wǒ jīngcháng hé tāmen yīqǐ dǎwǎngqiú 。
I owe you thirteen euros.,我欠你十三欧元。,wǒ qiàn nǐ shísān ōuyuán 。
I prefer coffee without sugar.,我更喜欢不加糖的咖啡。,wǒ gēng xǐhuan bù jiātáng de kāfēi 。
I prefer cross country skiing.,我更喜欢越野滑雪。,wǒ gēng xǐhuan yuèyě huáxuě 。
I prefer my wine a little dry.,我更喜欢干一点的酒。,wǒ gēng xǐhuan gān yīdiǎn de jiǔ 。
I prefer to come to lunch.,我更喜欢来吃午饭。,wǒ gēng xǐhuan lái chī wǔfàn 。
I prefer to eat healthy food.,我更喜欢吃健康的食物。,wǒ gēng xǐhuan chī jiànkāng de shíwù 。
I prefer to go to the countryside.,我更喜欢去乡村。,wǒ gēng xǐhuan qù xiāngcūn 。
I prefer to sit next to the pool.,我更喜欢坐在泳池旁边。,wǒ gēng xǐhuan zuòzài yǒngchí pángbiān 。
I prefer to sit outside.,我更喜欢坐在外面。,wǒ gēng xǐhuan zuòzài wàimiàn 。
I prefer to travel.,我更喜欢旅行。,wǒ gēng xǐhuan lǚxíng 。
I prefer to wait because I have too much work.,我宁愿等待，因为我有太多的工作。,wǒ nìngyuàn děngdài ， yīnwèi wǒ yǒu tài duō de gōngzuò 。
I promise it to you from the heart.,我发自内心地向你保证。,wǒ fāzìnèixīn dìxiàng nǐ bǎozhèng 。
I promise you everything.,我向你保证一切。,wǒ xiàng nǐ bǎozhèng yīqiè 。
"I promise you that the next time, I will arrive on time.",我向你保证，下次我会准时到达。,wǒ xiàng nǐ bǎozhèng ， xiàcì wǒhuì zhǔnshídàodá 。
"I promise you that the next time, I will do it.",我向你保证，下次我一定会这么做。,wǒ xiàng nǐ bǎozhèng ， xiàcì wǒ yīdìng huì zhème zuò 。
I realized it just in time.,我及时意识到了这一点。,wǒ jíshí yìshí dào le zhè yīdiǎn 。
I realized it right away.,我立刻意识到了。,wǒ lìkè yìshí dào le 。
I realized it too late.,我意识到太晚了。,wǒ yìshí dào tàiwǎn le 。
I realized it.,我意识到了。,wǒ yìshí dào le 。
I really like the striped shirt in the shop window.,我真的很喜欢商店橱窗里的条纹衬衫。,wǒ zhēnde hěn xǐhuan shāngdiàn chúchuāng lǐ de tiáowén chènshān 。
I recommend it to you from the heart.,我发自内心地向您推荐它。,wǒ fāzìnèixīn dìxiàng nín tuījiàn tā 。
I recommend this wine to you.,我向你推荐这款酒。,wǒ xiàng nǐ tuījiàn zhèkuǎn jiǔ 。
I remained at home.,我留在家里。,wǒ liúzài jiālǐ 。
I remained in Tuscany for a long time.,我在托斯卡纳待了很长时间。,wǒ zài tuōsīkǎnà dài le hěn chángshíjiān 。
I remember this trip well.,这次旅行我记得很清楚。,zhècì lǚxíng wǒ jìde hěn qīngchu 。
I rented a house there in order to work.,为了工作，我在那里租了房子。,wèile gōngzuò ， wǒ zài nàli zū le fángzi 。
I rented a house to work for a month.,我租了房子工作一个月。,wǒzū le fángzi gōngzuò yīgèyuè 。
I rented a room here last year for work.,去年我在这里租了一个房间来工作。,qùnián wǒ zài zhèlǐ zū le yīgè fángjiān lái gōngzuò 。
I rented a room near my work last year.,去年我在工作单位附近租了一个房间。,qùnián wǒ zài gōngzuò dānwèi fùjìn zū le yīgè fángjiān 。
I said that my son has an Italian girlfriend.,我说我儿子有一个意大利女朋友。,wǒ shuō wǒ érzi yǒu yīgè yìdàlì nǚpéngyou 。
I saw a big lake before coming here.,来这里之前我看到了一个大湖。,lái zhèlǐ zhīqián wǒ kàndào le yīgè dàhú 。
I saw a fountain made of marble.,我看到了一个大理石喷泉。,wǒ kàndào le yīgè dàlǐshí pēnquán 。
I saw a lot before coming here.,来这里之前我看到了很多。,lái zhèlǐ zhīqián wǒ kàndào le hěnduō 。
I saw a lot of things while I was traveling.,我在旅行的时候看到了很多东西。,wǒ zài lǚxíng de shíhou kàndào le hěnduō dōngxi 。
I saw an exceptional doctor.,我看到了一位出色的医生。,wǒ kàndào le yīwèi chūsè de yīshēng 。
I saw an interesting article yesterday.,昨天我看到一篇有趣的文章。,zuótiān wǒ kàndào yīpiān yǒuqù de wénzhāng 。
I saw her on the train a little while ago.,不久前我在火车上见过她。,bùjiǔqián wǒ zài huǒchē shàngjiàn guò tā 。
I saw her paintings in Milan.,我在米兰看到了她的画。,wǒ zài mǐlán kàndào le tā de huà 。
I saw it last month in Rome.,我上个月在罗马看到了它。,wǒ shànggèyuè zài luómǎ kàndào le tā 。
I saw it last month while I was traveling.,我上个月在旅行时看到了它。,wǒ shànggèyuè zài lǚxíng shí kàndào le tā 。
I saw it last month.,我上个月看到了。,wǒ shànggèyuè kàndào le 。
I saw several of them from the train window.,我从火车窗户看到了其中的几个。,wǒ cóng huǒchē chuānghù kàndào le qízhōng de jǐge 。
I saw several of them in Europe.,我在欧洲见过其中几个。,wǒ zài ōuzhōu jiànguò qízhōng jǐge 。
I saw several of them in the landscape.,我在风景中看到了其中的几个。,wǒ zài fēngjǐng zhōng kàndào le qízhōng de jǐge 。
I saw several of them since last month.,自上个月以来我见过其中几个。,zì shànggèyuè yǐlái wǒjiàn guò qízhōng jǐge 。
I saw several of them.,我看到了其中几个。,wǒ kàndào le qízhōng jǐge 。
I saw several places.,我看到了好几个地方。,wǒ kàndào le hǎojǐgè dìfāng 。
I saw them a little while ago in Rome.,我不久前在罗马见过他们。,wǒ bùjiǔqián zài luómǎ jiànguò tāmen 。
I saw them.,我看到他们。,wǒ kàndào tāmen 。
I should have called directly.,我应该直接打电话的。,wǒ yīnggāi zhíjiē dǎdiànhuà de 。
I should have called you.,我应该给你打电话的。,wǒ yīnggāi gěi nǐ dǎdiànhuà de 。
I should have called.,我应该打电话的。,wǒ yīnggāi dǎdiànhuà de 。
I should have checked my purse.,我应该检查一下我的钱包。,wǒ yīnggāi jiǎncháyīxià wǒ de qiánbāo 。
I should have checked that the purse was hand-made.,我应该检查一下这个钱包是不是手工制作的。,wǒ yīnggāi jiǎncháyīxià zhège qiánbāo shìbùshì shǒugōng zhìzuò de 。
I should have filed a report right away.,我应该立即提交报告。,wǒ yīnggāi lìjí tíjiāo bàogào 。
I should have paid with a credit card.,我应该用信用卡付款。,wǒ yīnggāi yòng xìnyòngkǎ fùkuǎn 。
I should have recharged my cellphone.,我应该给我的手机充电。,wǒ yīnggāi gěi wǒ de shǒujī chōngdiàn 。
"I should have waited, now I’m nervous.",我应该等一下，现在我很紧张。,wǒ yīnggāi děng yīxià ， xiànzài wǒ hěn jǐnzhāng 。
I should ship it.,我应该运送它。,wǒ yīnggāi yùnsòng tā 。
I should taste these cookies.,我应该尝尝这些饼干。,wǒ yīnggāi chángcháng zhèxiē bǐnggān 。
I shouldn’t have refused.,我不应该拒绝。,wǒ bù yīnggāi jùjué 。
I speak Italian.,我会说意大利语。,wǒhuì shuō yìdàlìyǔ 。
I spoke a lot of Italian with the waiter.,我和服务员说了很多意大利语。,wǒ hé fúwùyuán shuō le hěnduō yìdàlìyǔ 。
I spoke a lot of Italian.,我说了很多意大利语。,wǒ shuō le hěnduō yìdàlìyǔ 。
I spoke with Stefania’s assistant yesterday.,昨天我和斯蒂芬妮娅的助理谈过。,zuótiān wǒ hé sīdìfēn nīyà de zhùlǐ tánguò 。
I stayed in Tuscany another time.,我又在托斯卡纳住过一次。,wǒ yòu zài tuōsīkǎnà zhù guò yīcì 。
I stayed next to the lake another time.,我还有一次住在湖边。,wǒ háiyǒu yīcì zhù zài húbiān 。
I still have time to have a coffee with you.,我还有时间和你喝咖啡。,wǒ háiyǒu shíjiān hé nǐ hēkāfēi 。
I stopped an officer.,我拦住了一名军官。,wǒ lánzhù le yīmíng jūnguān 。
I stopped at the red light.,我在红灯前停了下来。,wǒ zài hóngdēng qiántíng le xiàlai 。
I take coffee without milk.,我喝咖啡不加奶。,wǒ hēkāfēi bùjiānǎi 。
I tasted some local wines.,我品尝了一些当地的葡萄酒。,wǒ pǐncháng le yīxiē dāngdì de pútaojiǔ 。
I tasted some wines.,我尝了一些酒。,wǒcháng le yīxiē jiǔ 。
I think I misplaced it.,我想我放错地方了。,wǒ xiǎng wǒ fàngcuò dìfāng le 。
I think I need a breath of fresh air.,我想我需要呼吸新鲜空气。,wǒ xiǎng wǒ xūyào hūxī xīnxiānkōngqì 。
I think I’ll take my car.,我想我会开我的车。,wǒ xiǎng wǒhuì kāi wǒ de chē 。
I think so.,我想是这样。,wǒ xiǎng shì zhèyàng 。
I think that everything is ready.,我想一切都准备好了。,wǒ xiǎng yīqiè dū zhǔnbèi hǎo le 。
I think that he has a lot of relatives in Italy.,我认为他在意大利有很多亲戚。,wǒ rènwéi tā zài yìdàlì yǒu hěnduō qīnqi 。
I think that I can go on Thursday.,我想我周四可以去。,wǒ xiǎng wǒ zhōusì kěyǐ qù 。
I think that I know her.,我想我认识她。,wǒ xiǎng wǒ rènshi tā 。
I think that in Italy it is different.,我认为意大利的情况有所不同。,wǒ rènwéi yìdàlì de qíngkuàng yǒusuǒbùtóng 。
I think that it’s a beautiful pastry shop.,我认为这是一家漂亮的糕点店。,wǒ rènwéi zhèshì yījiā piàoliang de gāodiǎndiàn 。
I think that it’s a unique experience.,我认为这是一次独特的经历。,wǒ rènwéi zhèshì yīcì dútè de jīnglì 。
I think that it’s all right.,我认为没关系。,wǒ rènwéi méiguānxi 。
I think that it’s going to last one or two hours.,我认为它会持续一两个小时。,wǒ rènwéi tāhuì chíxù yīliǎnggè xiǎoshí 。
I think that it’s near Italy.,我认为它靠近意大利。,wǒ rènwéi tā kàojìn yìdàlì 。
I think that it’s near the harbor.,我认为它靠近港口。,wǒ rènwéi tā kàojìn gǎngkǒu 。
I think that it’s near the pier.,我认为它靠近码头。,wǒ rènwéi tā kàojìn mǎtóu 。
I think that my husband needs a doctor.,我认为我丈夫需要一位医生。,wǒ rènwéi wǒ zhàngfu xūyào yīwèi yīshēng 。
I think that the meeting is at a quarter to twelve.,我认为会议时间是十二点一刻。,wǒ rènwéi huìyì shíjiān shì shíèrdiǎn yīkè 。
I think that you need a vacation.,我认为你需要一个假期。,wǒ rènwéi nǐ xūyào yīgè jiàqī 。
I think that you’re not in a good mood today.,我觉得你今天心情不太好。,wǒ juéde nǐ jīntiān xīnqíng bùtàihǎo 。
I think this guidebook says that the aquarium is near the pier.,我记得这本指南说水族馆就在码头附近。,wǒ jìde zhèběn zhǐnán shuō shuǐzúguǎn jiù zài mǎtóu fùjìn 。
I think we can rest later.,我想我们可以稍后休息。,wǒ xiǎng wǒmen kěyǐ shāohòu xiūxi 。
I think you need a breath of fresh air.,我想你需要呼吸一下新鲜空气。,wǒ xiǎng nǐ xūyào hūxī yīxià xīnxiānkōngqì 。
I think you need a vacation.,我想你需要一个假期。,wǒ xiǎng nǐ xūyào yīgè jiàqī 。
I thought that the owner had checked everything.,我以为楼主已经检查过一切了。,wǒ yǐwéi lóuzhǔ yǐjīng jiǎnchá guò yīqiè le 。
I thought that the owner had painted everything.,我还以为楼主把所有的东西都画好了呢。,wǒ huán yǐwéi lóuzhǔ bǎ suǒyǒu de dōngxi dū huà hǎo le ne 。
I thought that the plumber had checked everything.,我以为水管工已经检查了一切。,wǒ yǐwéi shuǐguǎn gōng yǐjīng jiǎnchá le yīqiè 。
I told you.,我告诉你了。,wǒ gàosu nǐ le 。
I too am of Italian descent.,我也是意大利血统。,wǒ yě shì yìdàlì xuètǒng 。
I too get sea-sick even sometimes when the sea is calm.,即使有时海面风平浪静，我也会晕船。,jíshǐ yǒushí hǎimiàn fēngpínglàngjìng ， wǒ yě huì yùnchuán 。
I too have put on weight since last month.,从上个月开始，我的体重也增加了。,cóng shànggèyuè kāishǐ ， wǒ de tǐzhòng yě zēngjiā le 。
I too visited the Etruscan ruins.,我也参观了伊特鲁里亚遗址。,wǒ yě cānguān le yītè lǔlǐyà yízhǐ 。
I too would like to eat.,我也想吃。,wǒ yě xiǎng chī 。
I took a guided tour of the Etruscan ruins.,我在导游的带领下参观了伊特鲁里亚遗址。,wǒ zài dǎoyóu de dàilǐng xià cānguān le yītè lǔlǐyà yízhǐ 。
"I took a long walk, and I went to a concert.",我走了很长一段路，然后去听了一场音乐会。,wǒ zǒu le hěncháng yīduànlù ， ránhòu qù tīng le yīcháng yīnyuèhuì 。
I took a lot of photographs.,我拍了很多照片。,wǒ pāi le hěnduō zhàopiàn 。
I took a lot of pictures at the Etruscan ruins.,我在伊特鲁里亚遗址拍了很多照片。,wǒ zài yītè lǔlǐyà yízhǐ pāi le hěnduō zhàopiàn 。
I tore my pants when I fell.,我摔倒时把裤子撕破了。,wǒ shuāidǎo shí bǎ kùzi sīpò le 。
I tore these pants when I fell yesterday.,我昨天摔倒时把这条裤子撕破了。,wǒ zuótiān shuāidǎo shí bǎ zhètiáo kùzi sīpò le 。
I understand a little.,我明白一点了。,wǒ míngbai yīdiǎn le 。
I understand English well.,我听得懂英语。,wǒ tīngdedǒng yīngyǔ 。
"I understand Italian, a little.",我懂一点意大利语。,wǒ dǒng yīdiǎn yìdàlìyǔ 。
I understand you.,我理解你。,wǒ lǐjiě nǐ 。
I understand.,我明白。,wǒ míngbai 。
I use alternative energy when I can.,我尽可能使用替代能源。,wǒ jǐnkěnéng shǐyòng tìdài néngyuán 。
I use recycled materials to respect the environment.,我使用回收材料来尊重环境。,wǒ shǐyòng huíshōu cáiliào lái zūnzhòng huánjìng 。
I use recycled materials when I can.,我尽可能使用回收材料。,wǒ jǐnkěnéng shǐyòng huíshōu cáiliào 。
I used the card several times.,我用过这张卡好几次了。,wǒyòng guò zhè zhāngkǎhǎo jǐcì le 。
I visited a Tuscan winery.,我参观了托斯卡纳的一家酒庄。,wǒ cānguān le tuōsīkǎnà de yījiā jiǔzhuāng 。
I visited several places.,我参观了几个地方。,wǒ cānguān le jǐge dìfāng 。
I visited the Etruscan ruins.,我参观了伊特鲁里亚遗址。,wǒ cānguān le yītè lǔlǐyà yízhǐ 。
I want nine dollars.,我要九块钱。,wǒyào jiǔkuài qián 。
I want nothing.,我什么都不要。,wǒ shénme dū bùyào 。
I want the best price.,我想要最优惠的价格。,wǒ xiǎngyào zuì yōuhuì de jiàgé 。
I want to be a good plumber.,我想成为一名优秀的水管工。,wǒ xiǎng chéngwéi yīmíng yōuxiù de shuǐguǎn gōng 。
I want to be a good tenant.,我想成为一名好租客。,wǒ xiǎng chéngwéi yīmíng hǎo zūkè 。
I want to buy another car.,我想再买一辆车。,wǒ xiǎng zài mǎi yīliàngchē 。
I want to buy something.,我想买东西。,wǒ xiǎng mǎi dōngxi 。
